Prompt;Category;Challenge;Note;Index
brown white and black white guinea pigs eating parsley handed to them;Animals;Fine-grained Detail;;427
The Rosetta Stone lying on the ground, covered in snow.;World Knowledge;Fine-grained Detail;;428
a high-quality photograph of an armadillo playing a bagpipe while standing on one leg;Animals;Fine-grained Detail;;429
a white robot with a red mohawk painted as graffiti on a red brick wall;Artifacts;Fine-grained Detail;;430
a panda bear playing ping pong using a blue paddle against an ostrich using a red paddle;Animals;Fine-grained Detail;;431
Anubis wearing sunglasses and sitting astride a hog motorcyle;World Knowledge;Fine-grained Detail;;432
a photograph of sand with a bucket, lots of scattered shells but no sandpipers;Outdoor Scenes;Fine-grained Detail;;433
a shiba inu wearing a beret and black turtleneck;Animals;Fine-grained Detail;DALL-E 2;434
a handpalm with leaves growing from it;People;Fine-grained Detail;DALL-E 2;435
panda mad scientist mixing sparkling chemicals;Animals;Fine-grained Detail;DALL-E 2;436
a corgi’s head depicted as an explosion of a nebula;Animals;Fine-grained Detail;DALL-E 2;437
a dolphin in an astronaut suit on saturn;Animals;Fine-grained Detail;DALL-E 2;438
a teddy bear on a skateboard in times square;World Knowledge;Fine-grained Detail;DALL-E 2;439
A Big Ben clock towering over the city of London;World Knowledge;Fine-grained Detail;CogView;440
A Vietnam map showing Ha Long Bay;World Knowledge;Fine-grained Detail;;441
A bowl of Pho served with bean sprouts on top;Food & Beverage;Fine-grained Detail;;442
a capybara sitting in a field;Animals;Fine-grained Detail;DALL-E;443
a baby penguin wearing a blue hat, red gloves, green shirt, and yellow pants;Animals;Fine-grained Detail;DALL-E;444
a collection of glasses is sitting on a table;Artifacts;Fine-grained Detail;DALL-E;445
A bare kitchen has wood cabinets and white appliances;Indoor Scenes;Fine-grained Detail;VQ-Diffusion;446
A black and white landscape photograph of a black tree;Outdoor Scenes;Fine-grained Detail;VQ-Diffusion;447
an ornate, high-backed mahogany chair with a red cushion;Artifacts;Fine-grained Detail;;448
a whale breaching in front of the Sydney Opera House;World Knowledge;Fine-grained Detail;;449
a white country home with a wrap-around porch;Outdoor Scenes;Fine-grained Detail;;450
a corgi wearing a red bowtie and a purple party hat;Animals;Fine-grained Detail;GLIDE;451
robots meditating in a vipassana retreat;Artifacts;Fine-grained Detail;GLIDE;452
a white robot passing a soccer ball to a red robot;Artifacts;Fine-grained Detail;;453
a fall landscape with a small cottage next to a lake;Outdoor Scenes;Fine-grained Detail;GLIDE;454
a cat looking out of a window at a squirrel on a fence;Animals;Fine-grained Detail;;455
a white cat with black ears and markings;Animals;Fine-grained Detail;;456
a white cat and a tabby cat looking at each other;Animals;Fine-grained Detail;;457
a cat sitting on a stairway railing;Animals;Fine-grained Detail;;458
a professional photo of a sunset behind the grand canyon;Outdoor Scenes;Fine-grained Detail;GLIDE;459
a large white yacht in a calm bay on a sunny day;Vehicles;Fine-grained Detail;;460
a large white yacht tossed about in a stormy sea;Vehicles;Fine-grained Detail;;461
a baby daikon radish in a tutu walking a dog;Produce & Plants;Fine-grained Detail;DALL-E;462
an illustration of a baby daikon radish in a tutu walking a dog;Produce & Plants;Fine-grained Detail;DALL-E;463
a long wooden bench in front of a brick wall;Artifacts;Fine-grained Detail;;464
an ornate metal bench by a nature path;Outdoor Scenes;Fine-grained Detail;;465
a white plastic bench with a high arched back;Artifacts;Fine-grained Detail;;466
a tall horse next to a red car;Animals;Fine-grained Detail;;467
an owl standing on a wire;Animals;Fine-grained Detail;;468
an owl standing on a telephone wire;Animals;Fine-grained Detail;;469
the skyline of New York City;World Knowledge;Fine-grained Detail;;470
beautiful fireworks in the sky with red, white and blue;Outdoor Scenes;Fine-grained Detail;;471
a steam locomotive speeding through a desert;Vehicles;Fine-grained Detail;;472
a submarine floating past a shark;Vehicles;Fine-grained Detail;;473
a whale breaching near a mountain;Animals;Fine-grained Detail;;474
the United States flag next to the flag of Texas;World Knowledge;Fine-grained Detail;;475
a giraffe with an owl on its head;Animals;Fine-grained Detail;;476
an owl on top of an elephant's back;Animals;Fine-grained Detail;;477
an eagle swooping down to catch a mouse;Animals;Fine-grained Detail;;478
an owl with its wings spread out swooping over a tree;Animals;Fine-grained Detail;;479
a giraffe eating the bark of a tree;Animals;Fine-grained Detail;;480
a car and a truck on the road next to a traffic light;Vehicles;Fine-grained Detail;;481
a cityscape at night with a full moon;Outdoor Scenes;Fine-grained Detail;;482
an owl gripping a squirrel in its talons;Animals;Fine-grained Detail;;483
a bloody mary cocktail next to a napkin;Food & Beverage;Fine-grained Detail;;484
an old-fashioned cocktail next to a napkin;Food & Beverage;Fine-grained Detail;;485
a long-island ice tea cocktail next to a napkin;Food & Beverage;Fine-grained Detail;;486
a margarita next to a napkin;Food & Beverage;Fine-grained Detail;;487
a room with two chairs and a painting of the Statue of Liberty;Indoor Scenes;Fine-grained Detail;;488
a mountain and its reflection in a lake;Outdoor Scenes;Fine-grained Detail;;489
a bird and its reflection in a fountain;Outdoor Scenes;Fine-grained Detail;;490
The Statue of Liberty on a cloudy day;World Knowledge;Fine-grained Detail;;491
The Statue of Liberty surrounded by helicopters;World Knowledge;Fine-grained Detail;;492
the Eiffel Tower in winter;World Knowledge;Fine-grained Detail;;493
a sunken ship at the bottom of the ocean;Vehicles;Fine-grained Detail;;494
a sunken submarine at the bottom of the ocean;Vehicles;Fine-grained Detail;;495
the Eiffel Tower in a desert;World Knowledge;Fine-grained Detail;;496
Golden Gate bridge on the surface of Mars;World Knowledge;Fine-grained Detail;;497
the city of London on Mars;World Knowledge;Fine-grained Detail;;498
the city of London on the moon;World Knowledge;Fine-grained Detail;;499
a stop sign with a large tree behind it;Artifacts;Fine-grained Detail;;500
a stop sign knocked over on a sidewalk;Artifacts;Fine-grained Detail;;501
teacups surounding a kettle;Artifacts;Fine-grained Detail;;502
a dragon breathing fire;Animals;Fine-grained Detail;;503
a dragon breathing fire on a castle;Animals;Fine-grained Detail;;504
a dragon breathing fire onto a knight;Animals;Fine-grained Detail;;505
a view of the Big Dipper in the night sky;World Knowledge;Fine-grained Detail;;506
a view of the Orion constellation in the night sky;World Knowledge;Fine-grained Detail;;507
a teddy bear to the right of a toy car;Artifacts;Fine-grained Detail;;508
a toy car in front of a teddy bear;Artifacts;Fine-grained Detail;;509
a large present with a red ribbon;Artifacts;Fine-grained Detail;;510
a large present with a red ribbon to the left of a Christmas tree;Indoor Scenes;Fine-grained Detail;;511
a half empty bottle of red wine;Food & Beverage;Fine-grained Detail;;512
a wine bottle with a lit candle stuck in its spout;Food & Beverage;Fine-grained Detail;;513
a wine bottle with a red ribbon wrapped around it;Food & Beverage;Fine-grained Detail;;514
a kids' book cover with an illustration of white dog driving a red pickup truck;Illustrations;Fine-grained Detail;;515
milk pouring into a large glass;Food & Beverage;Fine-grained Detail;;516
milk pouring from a glass into a bowl;Food & Beverage;Fine-grained Detail;;517
matching socks with cute cats on them;Artifacts;Fine-grained Detail;;518
cash on a wooden table;Artifacts;Fine-grained Detail;;519
a wood cabin with a fire pit in front of it;Indoor Scenes;Fine-grained Detail;;520
view of a clock tower on a cloudy day;Artifacts;Fine-grained Detail;;521
a chimpanzee wearing a bowtie and playing a piano;Animals;Fine-grained Detail;;522
a black baseball hat with a flame decal on it;Artifacts;Fine-grained Detail;;523
black hi-top sneakers with the Nike swoosh;Artifacts;Fine-grained Detail;;524
a roast turkey being taken out of the oven;Food & Beverage;Fine-grained Detail;;525
a bamboo ladder propped up against an oak tree;Artifacts;Fine-grained Detail;;526
a Tyrannosaurus Rex roaring in front of a palm tree;Animals;Fine-grained Detail;;527
a Stegasaurus eating ferns;Animals;Fine-grained Detail;;528
a Triceratops charging down a hill;Animals;Fine-grained Detail;;529
a Styracosaurus displaying its horns;Animals;Fine-grained Detail;;530
a Diplodocus standing in a lake;Animals;Fine-grained Detail;;531
a tabby cat coming through a door;Animals;Fine-grained Detail;;532
a cat's tail showing under a couch;Animals;Fine-grained Detail;;533
a light shining on a giraffe in a street;Animals;Fine-grained Detail;;534
a barred owl peeking out from dense tree branches;Animals;Fine-grained Detail;;535
a great gray owl with a mouse in its beak;Animals;Fine-grained Detail;;536
a snowy owl standing in a grassy field;Animals;Fine-grained Detail;;537
a stone path leading away from a fountain;Outdoor Scenes;Fine-grained Detail;;538
a wooden deck overlooking a mountain valley;Outdoor Scenes;Fine-grained Detail;;539
a mouse sitting next to a computer mouse;Animals;Fine-grained Detail;;540
a tiny dragon landing on a knight's shield;Animals;Fine-grained Detail;;541
an F1 race car in a Manhattan street;World Knowledge;Fine-grained Detail;;542
a chess queen to the right of a chess knight;Artifacts;Fine-grained Detail;;543
a white pawn attacking a black bishop;Artifacts;Fine-grained Detail;;544
a mountain stream with salmon leaping out of it;Outdoor Scenes;Fine-grained Detail;;545
a living room with a large Egyptian statue in the corner;Indoor Scenes;Fine-grained Detail;;546
a stone bust next to an egg and an eggplant;Artifacts;Fine-grained Detail;;547
scraps of paper drifting in the wind;Outdoor Scenes;Fine-grained Detail;;548
the silhouette of an elephant on the full moon;Animals;Fine-grained Detail;;549
a tree growing out of the middle of an intersection;Outdoor Scenes;Fine-grained Detail;;550
a can of Spam on an elegant plate;Food & Beverage;Fine-grained Detail;;551
a dolphin jumping over a rowboat;Animals;Fine-grained Detail;;552
a pick-up truck rolling over a grassy field;Vehicles;Fine-grained Detail;;553
a drop-top sports car coming around a bend in the road;Vehicles;Fine-grained Detail;;554
the Taj Mahal at sunrise;World Knowledge;Fine-grained Detail;;555
a small garden with an apple tree behind it;Produce & Plants;Fine-grained Detail;;556
a old-time car with a large front grille;Vehicles;Fine-grained Detail;;557
a blue wall with a large framed watercolor painting of a mountain;Indoor Scenes;Fine-grained Detail;;558
a yellow wall with a large framed oil painting of a car;Indoor Scenes;Fine-grained Detail;;559
an old-fashioned phone next to a sleek laptop;Artifacts;Fine-grained Detail;;560
a motorcycle parked in an ornate bank lobby;Vehicles;Fine-grained Detail;;561
a hot air balloon landing in a corn field;Vehicles;Fine-grained Detail;;562
a wooden toy horse with a mane made of rope;Artifacts;Fine-grained Detail;;563
a beach with a cruise ship passing by;Outdoor Scenes;Fine-grained Detail;;564
a group of penguins in a snowstorm;Animals;Fine-grained Detail;;565
a Scottish castle next to a loch;World Knowledge;Fine-grained Detail;;566
a full moon peeking through clouds at night;Outdoor Scenes;Fine-grained Detail;;567
a crescent moon viewed between tree branches at night;Outdoor Scenes;Fine-grained Detail;;568
a full moon rising above a mountain at night;Outdoor Scenes;Fine-grained Detail;;569
the International Space Station flying in front of the moon;World Knowledge;Fine-grained Detail;;570
a tornado passing over a corn field;Outdoor Scenes;Fine-grained Detail;;571
a tidal wave approaching a coastal road;Outdoor Scenes;Fine-grained Detail;;572
an antique car by a beach;Vehicles;Fine-grained Detail;;573
a water tower next to a deserted road;Outdoor Scenes;Fine-grained Detail;;574
a small airplane flying over rolling hills;Vehicles;Fine-grained Detail;;575
an airplane flying into a cloud that looks like monster;Vehicles;Fine-grained Detail;;576
a blue airplane taxiing on a runway with the sun behind it;Vehicles;Fine-grained Detail;;577
a car with tires that have yellow rims;Vehicles;Fine-grained Detail;;578
a turtle upside down and spinning on its shell;Animals;Fine-grained Detail;;579
an octopus fleeing and squirting black ink;Animals;Fine-grained Detail;;580
a moose by a mountain stream;Animals;Fine-grained Detail;;581
a kachina doll with feathers on its head and wearing a white dress and brown boots.;World Knowledge;Fine-grained Detail;;582
a kachina doll standing in sand;World Knowledge;Fine-grained Detail;;583
a doorknocker shaped like a lion's head;Artifacts;Fine-grained Detail;;584
a silver doorknocker on a mahoghany door;Artifacts;Fine-grained Detail;;585
a rabbit with white fur and black-tipped ears;Animals;Fine-grained Detail;;586
a glass of orange juice next to an empty pitcher;Food & Beverage;Fine-grained Detail;;587
a glass of orange juice with an orange peel stuck on the rim;Food & Beverage;Fine-grained Detail;;588
a bottle of light beer with a lemon slice wedged in the rim;Food & Beverage;Fine-grained Detail;;589
a helicopter hovering over Times Square;World Knowledge;Fine-grained Detail;;590
a traffic jam at Times Square;World Knowledge;Fine-grained Detail;;591
a prop plane flying low over the Great Wall;World Knowledge;Fine-grained Detail;;592
a view of the Kremlin on a sunny day;World Knowledge;Fine-grained Detail;;593
a view of the Kremlin with snow falling;World Knowledge;Fine-grained Detail;;594
a palm tree forest in front of the Kremlin;World Knowledge;Fine-grained Detail;;595
a Ferrari Testarossa in front of the Kremlin;World Knowledge;Fine-grained Detail;;596
a rusty red pickup truck with white wheel rims;Vehicles;Fine-grained Detail;;597
a blue pickup truck with a rhinoceros in its flatbed;Vehicles;Fine-grained Detail;;598
an orange pickup truck next to a yellow Porsche 911;Vehicles;Fine-grained Detail;;599
a pickup truck kicking up dust on a back road;Vehicles;Fine-grained Detail;;600
a pickup truck going up a mountain switchback;Vehicles;Fine-grained Detail;;601
a pickup truck at the beach at sunrise;Vehicles;Fine-grained Detail;;602
a pickup truck under street lights at night;Vehicles;Fine-grained Detail;;603
a pair of shoes on a tennis racquet;Artifacts;Fine-grained Detail;;604
a shoe with a sock draped over it;Artifacts;Fine-grained Detail;;605
a plant growing on the side of a brick wall;Produce & Plants;Fine-grained Detail;;606
a plant at the bottom of a shallow stream;Produce & Plants;Fine-grained Detail;;607
a cow eating a green leafy plant;Animals;Fine-grained Detail;;608
a bundle of blue and yellow flowers in a vase;Produce & Plants;Fine-grained Detail;;609
a horse chewing a large blue flower;Animals;Fine-grained Detail;;610
a yellow diamond-shaped sign with a deer silhouette;Artifacts;Fine-grained Detail;;611
a yellow diamond-shaped sign with a turtle silhouette;Artifacts;Fine-grained Detail;;612
a yellow diamond-shaped sign with a puma silhouette;Artifacts;Fine-grained Detail;;613
a yellow diamond-shaped sign with a wooly mammoth silhouette;Artifacts;Fine-grained Detail;;614
a pair of headphones on a pumpkin;Artifacts;Fine-grained Detail;;615
a pair of headphones on a guitar;Artifacts;Fine-grained Detail;;616
a pair of headphones on a statue of a horse;Artifacts;Fine-grained Detail;;617
a pair of headphones dangling from a tree branch;Artifacts;Fine-grained Detail;;618
a car's wheel crushing a pair of headphones;Vehicles;Fine-grained Detail;;619
a chemtrail passing between two clouds;Outdoor Scenes;Fine-grained Detail;;620
a long chemtrail trailing an airplane in a blue sky;Outdoor Scenes;Fine-grained Detail;;621
a tennis court with a basketball hoop in one corner;Outdoor Scenes;Fine-grained Detail;;622
a tennis court that is very wet from lots of rain;Outdoor Scenes;Fine-grained Detail;;623
a rocking chair next to the net of a tennis court;Outdoor Scenes;Fine-grained Detail;;624
a ceiling fan with an ornate light fixture;Indoor Scenes;Fine-grained Detail;;625
red and yellow balloons hanging from a ceiling fan;Indoor Scenes;Fine-grained Detail;;626
a sidewalk next to a wooden post with a blue '5' painted on top;Outdoor Scenes;Fine-grained Detail;;627
a harp with a carved eagle figure at the top;Artifacts;Fine-grained Detail;;628
a tuba with red flowers protruding from its bell;Artifacts;Fine-grained Detail;;629
an elephant using its trunk to blow into a tuba;Animals;Fine-grained Detail;;630
The Alamo with bright white clouds above it;World Knowledge;Fine-grained Detail;;631
a flock of geese in front of The Alamo;World Knowledge;Fine-grained Detail;;632
an old-fashioned windmill surrounded by flowers;Outdoor Scenes;Fine-grained Detail;;633
a windmill farm next to a country road;Outdoor Scenes;Fine-grained Detail;;634
a family of bears passing by the geyser Old Faithful;World Knowledge;Fine-grained Detail;;635
an old red truck parked by the geyser Old Faithful;World Knowledge;Fine-grained Detail;;636
an inflatable rabbit held up in the air by the geyser Old Faithful;World Knowledge;Fine-grained Detail;;637
a Harley-Davidson motorcycle with a flame decal;Vehicles;Fine-grained Detail;;638
a motorcycle in front of an rhinoceros;Vehicles;Fine-grained Detail;;639
a chopper decorated with the Stars and Stripes;Vehicles;Fine-grained Detail;;640
a painting of black and white with a red flower in the right corner;Illustrations;Fine-grained Detail;;641
a gorilla climbing up the side of the Great Pyramid;World Knowledge;Fine-grained Detail;;642
a beat-up truck at the base of the Great Pyramid;World Knowledge;Fine-grained Detail;;643
snow covering the Great Pyramid;World Knowledge;Fine-grained Detail;;644
the sun setting behind the Parthenon;World Knowledge;Fine-grained Detail;;645
fireworks above the Parthenon;World Knowledge;Fine-grained Detail;;646
the Millennium Wheel in a snow storm;World Knowledge;Fine-grained Detail;;647
a marina with a herd of dolphins playing in it;Outdoor Scenes;Fine-grained Detail;;648
a volcano exploding next to a marina;Outdoor Scenes;Fine-grained Detail;;649
a team playing baseball at the beach;People;Fine-grained Detail;;650
a man standing on a street corner;People;Fine-grained Detail;;651
a crowd of people watching fireworks by a park;People;Fine-grained Detail;;652
a crowd of people watching fireworks by a city;People;Fine-grained Detail;;653
a smiling man with wavy brown hair and trimmed beard;People;Fine-grained Detail;;654
a woman with long black hair and dark skin;People;Fine-grained Detail;;655
a woman with long black hair and dark skin in a long white dress;People;Fine-grained Detail;;656
a man with long blonde hair, brown eyes and blue jeans;People;Fine-grained Detail;;657
an elderly woman with straight hair and metal-rimmed glasses;People;Fine-grained Detail;;658
a man wearing sunglasses and business suit;People;Fine-grained Detail;;659
a girl with long curly blonde hair and sunglasses;People;Fine-grained Detail;;660
an old man with a long grey beard and green eyes;People;Fine-grained Detail;;661
a woman with tan skin in blue jeans and yellow shirt;People;Fine-grained Detail;;662
a woman with a dog puppet and a cat puppet;People;Fine-grained Detail;;663
a group of skiers are preparing to walk up a sand dune;People;Fine-grained Detail;;664
a child eating a birthday cake near some palm trees;People;Fine-grained Detail;;665
a man with wild hair looking into a crystal ball;People;Fine-grained Detail;;666
Gandalf saying you shall not pass;World Knowledge;Fine-grained Detail;;667
a mosquito biting a man;People;Fine-grained Detail;;668
a witch riding a broom;People;Fine-grained Detail;;669
a knight holding a long sword;People;Fine-grained Detail;;670
a man reading a book with a prism on its cover;People;Fine-grained Detail;;671
a cricket team walking on to the pitch;People;Fine-grained Detail;;672
a cricketer standing next to a wicket;People;Fine-grained Detail;;673
an elder politician giving a campaign speech;People;Fine-grained Detail;;674
a young girl playing piano;People;Fine-grained Detail;;675
a girl getting a kite out of a tree;People;Fine-grained Detail;;676
a politician giving a speech at a podium;People;Fine-grained Detail;;677
a politician speaking to a large crowd;People;Fine-grained Detail;;678
a child in the air while jumping on a trampoline;People;Fine-grained Detail;;679
the Beatles crossing Abbey road;People;Fine-grained Detail;;680
a girl riding an ostrich;People;Fine-grained Detail;;681
a river with people swimming in it as a boat goes by;People;Fine-grained Detail;;682
a selfie of an old man with a white beard;People;Fine-grained Detail;;683
a young girl wearing a tiara and frilly dress;People;Fine-grained Detail;;684
a ballet dancer next to a waterfall;People;Fine-grained Detail;;685
a judge delivering a sentence to the defendant;People;Fine-grained Detail;;686
people packed on a double-decker bus;People;Fine-grained Detail;;687
a man riding a camel on the beach;People;Fine-grained Detail;;688
a woman singing into a microphone;People;Fine-grained Detail;;689
a child unraveling a roll of toilet paper;People;Fine-grained Detail;;690
a girl examining an ammonite fossil;People;Fine-grained Detail;;691
a fairy flying over a girl's shoulder;People;Fine-grained Detail;;692
Tibetan priests ringing a bell;People;Fine-grained Detail;;693
a man sleeping in a hammock;People;Fine-grained Detail;;694
a library filled with kids reading books;People;Fine-grained Detail;;695
a scientist accepting an award;People;Fine-grained Detail;;696
A tornado made of sharks crashing into a skyscraper. painting in the style of Hokusai.;Arts;Imagination;;697
A tornado made of sharks crashing into a skyscraper. painting in the style of abstract cubism.;Arts;Imagination;;698
A tornado made of sharks crashing into a skyscraper. painting in the style of watercolor.;Arts;Imagination;;699
A tornado made of tigers crashing into a skyscraper. painting in the style of Hokusai.;Arts;Imagination;;700
A tornado made of tigers crashing into a skyscraper. painting in the style of abstract cubism.;Arts;Imagination;;701
A tornado made of tigers crashing into a skyscraper. painting in the style of watercolor.;Arts;Imagination;;702
A tornado made of bees crashing into a skyscraper. painting in the style of Hokusai.;Arts;Imagination;;703
A tornado made of bees crashing into a skyscraper. painting in the style of abstract cubism.;Arts;Imagination;;704
A tornado made of bees crashing into a skyscraper. painting in the style of watercolor.;Arts;Imagination;;705
A television made of water that displays an image of a cityscape at night.;Artifacts;Imagination;;706
A photo of a light bulb in outer space traveling the galaxy with a sailing boat inside the light bulb.;Artifacts;Imagination;;707
A shiny robot wearing a race car suit and black visor stands proudly in front of an F1 race car. The sun is setting on a cityscape in the background. comic book illustration.;Illustrations;Imagination;;708
A horse sitting on an astronaut's shoulders.;People;Imagination;;709
The collision of two black holes in the center of a galaxy.;Abstract;Imagination;;710
a super math wizard cat, richly textured oil painting;Arts;Imagination;;711
A group of farm animals (cows, sheep, and pigs) made out of cheese and ham, on a wooden board. There is a dog in the background eyeing the board hungrily.;Food & Beverage;Imagination;;712
A giant cobra snake made from corn;Animals;Imagination;;713
A giant cobra snake made from sushi;Animals;Imagination;;714
A giant cobra snake made from pancakes;Animals;Imagination;;715
A giant cobra snake made from salad;Animals;Imagination;;716
A photo of an astronaut riding a horse in the forest. There is a river in front of them with water lilies.;People;Imagination;;717
A rhino beetle this size of a tank grapples a real life passenger airplane on the tarmac;Animals;Imagination;;718
a massive robot with a coffee cup head. it is standing in the street with one foot smashing a car.;Artifacts;Imagination;;719
A large city fountain that has milk instead of water. Several cats are leaning into the fountain.;Outdoor Scenes;Imagination;;720
A bowl of soup that looks like a monster knitted out of wool;Food & Beverage;Imagination;;721
A bowl of soup that looks like a monster made out of plasticine;Food & Beverage;Imagination;;722
A bowl of soup that looks like a monster spray-painted on a wall;Food & Beverage;Imagination;;723
A bowl of soup that looks like a monster with tofu says deep learning;Food & Beverage;Imagination;;724
"The 1970s logo for a london-area football club called ""The Rumbury Wanderers""";World Knowledge;Imagination;;725
a swordfish and a narwhal fencing in an underwater sandy arena. a crap and a lobster are cheering.;Animals;Imagination;;726
A castle made of tortilla chips, in a river made of salsa. There are tiny burritos walking around the castle;Food & Beverage;Imagination;;727
A city in 4-dimensional space-time;Abstract;Imagination;;728
A high resolution photo of a rat working out in a gym.;Animals;Imagination;;729
A high resolution photo of a chicken working out in a gym.;Animals;Imagination;;730
a dump truck filled with soccer balls scuba diving in a coral reef.;Vehicles;Imagination;;731
a yellow dump truck filled with soccer balls driving in a coral reef. a blue whale looms in the background.;Vehicles;Imagination;;732
A photo of llama wearing sunglasses standing on the deck of a spaceship with the Earth in the background.;Animals;Imagination;;733
A high resolution photo of a large bowl of ramen. There are several origami boats in the ramen of different colors.;Food & Beverage;Imagination;;734
an elf drinking orange juice through a straw of a giant orange next to a squirrel and an owl watching from above;Animals;Imagination;Concept from an old children's book;735
An alien octopus floats through a portal reading a newspaper. DSLR photo.;Animals;Imagination;;736
A photo of an astronaut riding a horse in the forest.;People;Imagination;;737
A photograph of a bird made of wheat bread and an egg.;Animals;Imagination;;738
a horse corral with tigers standing in each stall;Animals;Imagination;;739
a bike rack with some bike locks attached to it but no bicycles;Vehicles;Imagination;;740
A red dragon dressed in a tuxedo and playing chess. The chess pieces are fashioned after robots.;Animals;Imagination;;741
An oil painting of a two-story house lifting off the ground like a rocket.;Arts;Imagination;;742
a portrait of a postal worker who has forgotten their mailbag;People;Imagination;;743
a politician wearing a soccer jersey and holding a volleyball while giving a speech on a stage;People;Imagination;;744
a kangaroo hopping in the air between two identical large statues of warrior rabbits;Animals;Imagination;;745
a impressionistic painting of a scholarly badger reading the Rosetta Stone;World Knowledge;Imagination;;746
A black dragon perched on top of a tall Egyptian obelisk and breathing flames at a knight on the ground;Animals;Imagination;;747
a photograph of a knight in shining armor holding a basketball;People;Imagination;;748
Dogs playing poker;Animals;Imagination;"Description of ""Dogs Playing Poker""";749
Dogs sitting around a poker table;Animals;Imagination;"Description of ""Dogs Playing Poker""";750
Dogs sitting around a poker table with beer bottles and chips. Their hands are holding cards.;Animals;Imagination;"Description of ""Dogs Playing Poker""";751
Salvador Dalí with a robotic half face;People;Imagination;DALL-E 2;752
an espresso machine that makes coffee from human souls;Artifacts;Imagination;DALL-E 2;753
panda mad scientist;Animals;Imagination;DALL-E 2;754
a snail made of harp;Animals;Imagination;DALL-E;755
a giraffe made of turtle;Animals;Imagination;DALL-E;756
a giraffe imitating a turtle;Animals;Imagination;DALL-E;757
a cube made of porcupine;Illustrations;Imagination;DALL-E;758
a watermelon chair;Artifacts;Imagination;;759
a giant gorilla at the top of the Empire State Building;World Knowledge;Imagination;;760
a spaceship that looks like the Sydney Opera House;Vehicles;Imagination;;761
a hedgehog using a calculator;Animals;Imagination;GLIDE;762
a cat playing checkers;Animals;Imagination;;763
a hamster dragon;Animals;Imagination;;764
a futuristic city;Outdoor Scenes;Imagination;GLIDE;765
corgi pizza;Animals;Imagination;;766
a clock with no hands;Artifacts;Imagination;;767
a baby daikon radish in a tutu;Produce & Plants;Imagination;DALL-E;768
a chimpanzee sitting on a wooden bench;Animals;Imagination;;769
a smiling banana wearing a bandana;Produce & Plants;Imagination;;770
an orange wearing a cowboy hat;Produce & Plants;Imagination;;771
a cat drinking a pint of beer;Animals;Imagination;;772
a train going to the moon;Vehicles;Imagination;;773
a subway train in an empty station;Vehicles;Imagination;;774
a cow jumping over the moon;Animals;Imagination;;775
a cat sitting in a car seat;Animals;Imagination;;776
a friendly car;Vehicles;Imagination;;777
two cats doing research;Animals;Imagination;;778
a red train is coming down the beach;Vehicles;Imagination;;779
a small kitchen with a white goat in it;Indoor Scenes;Imagination;;780
a giraffe with a funny face;Animals;Imagination;;781
a peaceful lakeside landscape with migrating herd of sauropods;Outdoor Scenes;Imagination;;782
a cat standing on a horse;Animals;Imagination;;783
a horse standing on an elephant;Animals;Imagination;;784
a cat chasing a horse;Animals;Imagination;;785
a horse chasing a cat;Animals;Imagination;;786
a cat with four eyes;Animals;Imagination;;787
a sword slicing through a loaf of bread;Artifacts;Imagination;;788
a sword slicing through pouring milk;Artifacts;Imagination;;789
a coffee mug floating in the sky;Artifacts;Imagination;;790
a pig face with an eye patch;Animals;Imagination;;791
a stork playing a violin;Animals;Imagination;;792
a TV on a horse;Artifacts;Imagination;;793
a Christmas tree on a toy train;Artifacts;Imagination;;794
The Statue of Liberty with the face of an owl;World Knowledge;Imagination;;795
a zebra with blue stripes;Animals;Imagination;;796
a zebra with alternating blue and red stripes;Animals;Imagination;;797
a yellow tiger with blue stripes;Animals;Imagination;;798
a tiger wearing a tuxedo;Animals;Imagination;;799
the statue of Liberty next to the Washington Monument;World Knowledge;Imagination;;800
a koi fish flying in the sky;Animals;Imagination;;801
a pineapple surfing on a wave;Produce & Plants;Imagination;;802
a toaster shaking hands with a microwave;Artifacts;Imagination;;803
blue apples on a tree with yellow leaves;Produce & Plants;Imagination;;804
square blue apples on a tree with circular yellow leaves;Produce & Plants;Imagination;;805
square red apples on a tree with circular green leaves;Produce & Plants;Imagination;;806
a pirate ship landing on the moon;Vehicles;Imagination;;807
a turkey walking in the kitchen;Animals;Imagination;;808
a horned owl with a graduation cap and diploma;Animals;Imagination;;809
a panda bear with aviator glasses on its head;Animals;Imagination;;810
a nerdy bear wearing glasses and a bowtie;Animals;Imagination;;811
a volcano spewing fish into the sky;Outdoor Scenes;Imagination;;812
a tree with leaves that look like purple balloons;Produce & Plants;Imagination;;813
a pony with a shooting star on its flank;Animals;Imagination;;814
a half moon in the day sky;Outdoor Scenes;Imagination;;815
the moon with a smiling face;Outdoor Scenes;Imagination;;816
a tornado with a house carried along at its top;Outdoor Scenes;Imagination;;817
a penguin that is a car;Animals;Imagination;;818
a bicycle wheel that is made of red yarn;Vehicles;Imagination;;819
a rabbit sitting on a turtle's back;Animals;Imagination;;820
a rabbit wearing a black tophat and monocle;Animals;Imagination;;821
a full pitcher of beer with an elephant's trunk in it;Food & Beverage;Imagination;;822
an elephant walking on the Great Wall;World Knowledge;Imagination;;823
a spaceship landing on the Great Wall;World Knowledge;Imagination;;824
an ocean at the base of the Great Wall;World Knowledge;Imagination;;825
a herd of buffalo stampeding at the Kremlin;World Knowledge;Imagination;;826
a pickup truck missing its wheels;Vehicles;Imagination;;827
